* Measurement data measured by REW V5.31.2
* Source: EXCL: Analogue 1 + 2 (Focusrite USB Audio), LINE_IN (Master Volume), L, volume: 1.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 5:55:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sub raw onax
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
273.925781	64.909	-20.3816
274.291992	64.893	-20.8529
274.658203	64.849	-21.0168
275.024414	64.763	-21.0468
275.390625	64.588	-21.1729
275.756836	64.283	-21.4705
276.123047	63.855	-21.8237
276.489258	63.396	-22.0002
276.855469	63.036	-21.7518
277.221680	62.864	-20.9005
277.587891	62.840	-19.3964
277.954102	62.859	-17.3475
278.320312	62.838	-15.0563
278.686523	62.780	-13.0294
279.052734	62.746	-11.7825
279.418945	62.790	-11.4252
279.785156	62.898	-11.4305
280.151367	62.988	-10.9844
280.517578	62.983	-9.6002
280.883789	62.869	-7.4508
281.250000	62.708	-5.2584
281.616211	62.588	-3.8035
281.982422	62.574	-3.3099
282.348633	62.668	-3.2831
282.714844	62.813	-3.0249
283.081055	62.932	-2.2472
283.447266	62.977	-1.1619
283.813477	62.951	-0.1058
284.179688	62.905	0.8739
284.545898	62.915	2.1047
284.912109	63.044	3.9287
285.278320	63.318	6.2258
285.644531	63.693	8.3726
286.010742	64.080	9.7212
286.376953	64.398	10.0647
286.743164	64.608	9.7128
287.109375	64.712	9.2462
287.475586	64.742	9.1707
287.841797	64.749	9.6494
288.208008	64.788	10.4600
288.574219	64.887	11.2109
288.940430	65.034	11.6719
289.306641	65.185	11.9552
289.672852	65.288	12.4314
290.039062	65.323	13.4932
290.405273	65.329	15.3052
290.771484	65.386	17.6157
291.137695	65.567	19.7731
291.503906	65.871	21.0901
291.870117	66.222	21.3250
292.236328	66.522	20.8326
292.602539	66.698	20.3458
292.968750	66.760	20.6284
293.334961	66.791	22.1093
293.701172	66.917	24.5328
294.067383	67.219	26.9675
294.433594	67.652	28.4423
294.799805	68.089	28.6690
295.166016	68.413	28.1189
295.532227	68.577	27.6290
295.898438	68.618	27.9600
296.264648	68.653	29.4160
296.630859	68.811	31.6120
296.997070	69.147	33.6933
297.363281	69.600	34.9988
297.729492	70.059	35.4864
298.095703	70.446	35.5544
298.461914	70.751	35.6270
298.828125	71.026	35.8647
299.194336	71.338	36.1148
299.560547	71.713	36.1007
299.926758	72.117	35.7020
300.292969	72.474	35.0818
300.659180	72.729	34.5943
301.025391	72.876	34.6138
301.391602	72.987	35.3583
301.757812	73.185	36.7216
302.124023	73.566	38.2139
302.490234	74.130	39.2086
302.856445	74.777	39.3395
303.222656	75.382	38.6563
303.588867	75.866	37.4832
303.955078	76.229	36.2124
304.321289	76.532	35.1411
304.687500	76.854	34.3438
305.053711	77.244	33.6521
305.419922	77.686	32.7985
305.786133	78.125	31.6365
306.152344	78.516	30.2357
306.518555	78.856	28.8060
306.884766	79.188	27.5276
307.250977	79.567	26.3962
307.617188	80.020	25.1945
307.983398	80.525	23.6359
308.349609	81.028	21.5455
308.715820	81.481	18.9271
309.082031	81.867	15.8938
309.448242	82.197	12.5693
309.814453	82.492	9.0249
310.180664	82.758	5.2844
310.546875	82.985	1.3701
310.913086	83.154	-2.6532
311.279297	83.251	-6.6741
311.645508	83.280	-10.5736
312.011719	83.260	-14.2789
312.377930	83.214	-17.8038
312.744141	83.152	-21.2349
313.110352	83.063	-24.6681
313.476562	82.924	-28.1312
313.842773	82.720	-31.5480
314.208984	82.453	-34.7660
314.575195	82.150	-37.6358
314.941406	81.844	-40.1020
315.307617	81.558	-42.2429
315.673828	81.290	-44.2162
316.040039	81.017	-46.1399
316.406250	80.720	-48.0114
316.772461	80.399	-49.7263
317.138672	80.072	-51.1857
317.504883	79.765	-52.4061
317.871094	79.489	-53.5364
318.237305	79.223	-54.7424
318.603516	78.928	-56.0504
318.969727	78.578	-57.2791
319.335938	78.181	-58.1179
319.702148	77.787	-58.3204
320.068359	77.463	-57.9310
320.434570	77.249	-57.3566
320.800781	77.125	-57.1475
321.166992	77.019	-57.6403
321.533203	76.852	-58.7776
321.899414	76.583	-60.1829
322.265625	76.221	-61.3528
322.631836	75.817	-61.8802
322.998047	75.445	-61.6509
323.364258	75.158	-60.9186
323.730469	74.954	-60.1312
324.096680	74.778	-59.6189
324.462891	74.560	-59.3992
324.829102	74.262	-59.2322
325.195312	73.903	-58.8240
325.561523	73.549	-58.0487
325.927734	73.278	-57.0683
326.293945	73.121	-56.2263
326.660156	73.032	-55.7582
327.026367	72.926	-55.5978
327.392578	72.733	-55.4495
327.758789	72.437	-55.0200
328.125000	72.082	-54.2256
328.491211	71.741	-53.2628
328.857422	71.458	-52.4490
329.223633	71.219	-51.9221
329.589844	70.972	-51.4768
329.956055	70.679	-50.7061
330.322266	70.351	-49.3183
330.688477	70.036	-47.4059
331.054688	69.772	-45.4426
331.420898	69.544	-43.9398
331.787109	69.302	-43.0493
332.153320	69.021	-42.4882
332.519531	68.734	-41.7882
332.885742	68.517	-40.6543
333.251953	68.422	-39.1834
333.618164	68.419	-37.7369
333.984375	68.400	-36.5835
334.350586	68.262	-35.7039
334.716797	67.973	-34.8736
335.083008	67.587	-33.8551
335.449219	67.198	-32.5442
335.815430	66.869	-30.9922
336.181641	66.588	-29.2696
336.547852	66.295	-27.3126
336.914062	65.955	-24.9252
337.280273	65.614	-21.9557
337.646484	65.378	-18.5339
338.012695	65.327	-15.1395
338.378906	65.433	-12.3367
338.745117	65.578	-10.4133
339.111328	65.637	-9.3005
339.477539	65.548	-8.6759
339.843750	65.325	-8.0252
340.209961	65.030	-6.6925
340.576172	64.738	-4.1029
340.942383	64.503	-0.1547
341.308594	64.331	4.5608
341.674805	64.170	9.0551
342.041016	63.952	12.5898
342.407227	63.660	15.1486
342.773438	63.377	17.4735
343.139648	63.255	20.5858
343.505859	63.422	24.8790
343.872070	63.871	29.6246
344.238281	64.430	33.6983
